2026-05-14 01:51:10,400 [INFO] Scrape started | date: 2026-05-13
2026-05-14 01:51:10,401 [INFO] Connecting to 149.154.167.51:443/TcpFull...
2026-05-14 01:51:10,598 [INFO] Connection to 149.154.167.51:443/TcpFull complete!
2026-05-14 01:51:20,430 [INFO] Phone migrated to 4
2026-05-14 01:51:20,634 [INFO] Reconnecting to new data center 4
2026-05-14 01:51:20,948 [INFO] Disconnecting from 149.154.167.51:443/TcpFull...
2026-05-14 01:51:20,948 [INFO] Disconnection from 149.154.167.51:443/TcpFull complete!
2026-05-14 01:51:20,949 [INFO] Connecting to 149.154.167.92:443/TcpFull...
2026-05-14 01:51:22,994 [INFO] Connection to 149.154.167.92:443/TcpFull complete!
2026-05-14 01:55:39,094 [INFO] Telegram client connected
2026-05-14 01:55:39,095 [INFO] Starting scrape: CheMed123
2026-05-14 01:57:09,285 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:09,637 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:09,991 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:10,367 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:10,686 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:11,048 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:11,483 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:11,836 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:12,072 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:12,340 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:12,629 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:13,384 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:14,052 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:17,040 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:17,386 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:20,635 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:23,055 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:25,046 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:25,682 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:25,860 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:26,322 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:26,697 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:27,450 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:28,069 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:28,671 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:28,823 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:29,415 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:29,817 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:30,204 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:30,583 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:31,007 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:31,337 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:31,957 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:32,415 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:33,002 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:33,702 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:34,195 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:34,420 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:37,418 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:38,132 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:40,954 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:43,824 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:44,117 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:44,552 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:45,515 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:46,241 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:46,953 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:47,753 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:48,562 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:49,386 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:50,393 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:51,330 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:52,191 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:53,171 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:53,548 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:53,940 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:54,928 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:55,487 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:56,388 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:57,139 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:57,650 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:58,142 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:58,600 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:59,233 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:57:59,936 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:00,610 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
2026-05-14 01:58:00,901 [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
